setting,identity_violations,sscsp_nan_runs,mean_eps,mean_cov,rho_sscs,d_sscs,p_sscs,pareto_sscs,rho_commit,d_commit,p_commit,pareto_commit,rho_sscsp,d_sscsp,p_sscsp,pareto_sscsp
lac05,0,0,0.008599963717755548,0.9520773094167218,-0.9345002823263695,-0.030989618555225147,0.19088752781040919,12,-0.9525691699604744,-0.0018014398427878145,0.0005715680059641979,12,0.9525691699604744,0.015402523257637118,1.0525653374990205e-11,1
lac10,0,0,0.02796582416884326,0.9026722789527282,-0.9243365330321853,-0.04298889280472852,0.2946160574033265,12,-0.9853190287972897,-0.005378040485978783,1.8667499591191654e-05,16,0.9887069452286844,0.01564342736677218,5.2310540237460683e-11,1
lac20,0,0,0.0975207910753855,0.8046091851768797,-0.9740259740259741,-0.029481223676045856,0.04901880799753542,12,-0.9830604178430267,-0.010100555034344474,1.6625662503188668e-09,15,0.9819311123658953,0.017952883970952155,7.770765727803899e-15,1
apsr10,0,0,0.04092035225406384,0.9018252421162506,-0.7651044607566347,-0.06292094267233608,4.632469318082196e-06,7,-0.9717673630717111,-0.009490208260267956,4.787696381087449e-19,14,0.9808018068887635,0.025888468126891703,1.5752751142427495e-17,1
