family,lf_coverr,lftr_coverr,lac_coverr,lf_eps,lftr_eps,lac_eps,lf_width,lf_width_fb,lftr_width,lftr_width_fb,lac_width,lac_width_fb,tau_err,lf_covbias,lftr_covbias,pass_lf_plain,pass_lf_phi,pass_lf_phiZ,pass_lftr_plain,pass_lftr_phi,pass_lac_plain,pass_lac_phi,acc
TFM,0.011518319504032972,0.010540467379711775,0.005299274600450705,0.03187016334408549,0.03219565037883714,0.02821369030466134,1.1659741394842078,1.1978443028282932,1.1652710183429582,1.1974666687217954,1.1792910323473487,1.2075047226520101,0.018324994621059208,-0.0032014013227646336,-0.0034579518229891537,0.6700396825396826,0.6700396825396826,0.6839285714285714,0.6876984126984126,0.6876984126984126,0.9430555555555555,0.9430555555555555,0.8455881540921243
GBDT,0.023964295971720038,0.023749039952788598,0.007345061441059105,0.036114973119891376,0.03699030400506018,0.024087642972587902,1.1721473861831444,1.2082623593030357,1.1707732174849916,1.2077635214900517,1.2001567159071753,1.2242443588797631,0.04539621900357249,-0.012322586981547394,-0.013238868786831054,0.5373015873015873,0.5373015873015873,0.5499999999999999,0.542063492063492,0.542063492063492,0.9174603174603174,0.9174603174603174,0.836578110655505
deep,0.01942069734356116,0.01899852177963145,0.007683085976487029,0.029234427284426975,0.029264963517789296,0.024960682693362355,1.1892887444692826,1.2185231717537097,1.1884211920403887,1.217686155558178,1.2172639817058455,1.2422246643992076,0.03282284730215729,-0.008751457849970046,-0.008988791140576892,0.5720238095238095,0.5720238095238095,0.5886904761904762,0.5886904761904762,0.5886904761904762,0.9166666666666667,0.9166666666666667,0.831426793043869
classic,0.018546935047664366,0.017981188195766076,0.008761970538234277,0.019714753729088895,0.01942119895291656,0.018064135030731076,1.3168666539601745,1.3365814076892635,1.3172218026368419,1.3366430015897586,1.3240116100440544,1.3420757450747853,0.03142047694865145,0.0015864794708819266,0.001705463033412973,0.5464285714285715,0.5464285714285715,0.5595238095238095,0.5535714285714286,0.5535714285714286,0.8511904761904763,0.8511904761904763,0.7957412814989098
