family,auc,eps,commit_pt,commit_run,sscs,sscsp,cov,width
GBDT,0.8696231473103639,0.0240876429725879,0.9759123570274122,0.5920634920634921,0.4925143308193167,0.8844062645599458,0.9040005966379338,1.2001567159071753
TFM,0.8817447059021323,0.028213690304661344,0.9717863096953385,0.5545634920634921,0.46721859604468896,0.896069606533943,0.9018903498706594,1.1792910323473487
classic,0.8260277262364158,0.018064135030731076,0.9819358649692689,0.6904761904761905,0.5633377122726513,0.8615978986175169,0.9051965919351455,1.3240116100440542
deep,0.8646967860099197,0.02496068269336236,0.9750393173066376,0.6363095238095239,0.5325978890575684,0.8854181876208747,0.9040838317483415,1.2172639817058453
