alpha,model,lf_coverr,lftr_coverr,pass_lf,pass_lftr
0.05,LogReg,0.0119761147808059,0.0113952924243239,0.8991150442477875,0.9
0.05,knn,0.0292367686206796,0.0292429086798868,0.6212389380530974,0.6097345132743364
0.05,tabpfn,0.0148600744412571,0.0141409125504074,0.8176991150442479,0.8292035398230089
0.05,tabm,0.0170063217870562,0.0160320956924562,0.8070796460176991,0.8247787610619469
0.05,xgboost,0.037364264891065,0.0364522375981662,0.5079646017699115,0.5247787610619469
0.05,catboost,0.0478209186625518,0.0465907163525092,0.4469026548672566,0.4646017699115044
0.05,exaone,0.0091449831519561,0.007026061785079,0.9592920353982302,0.9716814159292037
0.05,tabfm,0.0111092807158458,0.0088783364865569,0.9176991150442478,0.9433628318584072
0.1,LogReg,0.016652465921684,0.0158600095878579,0.911504424778761,0.904424778761062
0.1,knn,0.0367605189451,0.0357916319132086,0.6398230088495575,0.6557522123893805
0.1,tabpfn,0.0191471005374133,0.0174680419218826,0.8371681415929203,0.8628318584070797
0.1,tabm,0.0216442447692191,0.0197831144757743,0.8283185840707964,0.8451327433628318
0.1,xgboost,0.0469527387301736,0.0458537714905183,0.547787610619469,0.5699115044247788
0.1,catboost,0.0537581697565164,0.0520684282094222,0.5256637168141592,0.5336283185840708
0.1,exaone,0.0118814672754592,0.0083744684631641,0.9433628318584072,0.9663716814159292
0.1,tabfm,0.0155534728379877,0.0133860437497071,0.9185840707964602,0.9345132743362832
0.2,LogReg,0.025710908025954,0.0199975639060945,0.8769911504424778,0.9061946902654868
0.2,knn,0.0493117974821666,0.0466963800272216,0.6477876106194691,0.6752212389380531
0.2,tabpfn,0.0234346392559884,0.0181140822711946,0.8752212389380531,0.9123893805309734
0.2,tabm,0.027559319137677,0.0236299208367267,0.8654867256637168,0.8778761061946903
0.2,xgboost,0.0608691021174127,0.0578089051774825,0.636283185840708,0.6513274336283186
0.2,catboost,0.0543397846369997,0.0509485092049953,0.6380530973451327,0.6539823008849558
0.2,exaone,0.0176088663383942,0.0092095689490035,0.9584070796460176,0.9787610619469026
0.2,tabfm,0.0216702745410399,0.0144852382897993,0.9079646017699116,0.94070796460177
