block,alpha,score,metric,k,n_datasets,friedman_chi2,friedman_p,q_alpha,shipped_cd_is_nan,n_pairs_holm_wilcoxon,n_pairs_nemenyi_scikit_posthocs,gbdt_beats_tfm_datasets,rank_TFM,rank_GBDT,rank_deep,rank_classic
F1,0.1,lac,auc,22,113,1636.6009167842033,0.0,3.593,True,199,155,14,8.908343868520861,15.330383480825958,17.488938053097346,19.0929203539823
F1,0.1,lac,commit_pt,22,113,391.35193534751676,5.698659710044922e-70,3.593,True,140,60,43,12.406447534766118,10.64749262536873,9.59070796460177,8.081858407079647
F1,0.1,lac,sscsp,22,113,894.5192992005095,7.814217370572339e-176,3.593,True,167,134,26,9.670037926675095,13.86873156342183,16.424778761061948,16.26769911504425
F1,0.1,lac,sscs,22,113,69.51553658502422,4.201216378311183e-07,3.593,True,0,1,40,11.26991150442478,11.864306784660767,12.827433628318586,11.256637168141593
