family,pit_pass_raw,pit_pass_T,ks_pit_raw,ks_pit_T
GBDT,0.5784660766961652,0.9008849557522124,0.07786465925939506,0.057178984494452335
TFM,0.8921715452688905,0.9219196732471069,0.03766904327318443,0.05149457498007692
classic,0.7469026548672566,0.7141592920353983,0.05202590645560235,0.0843628901549993
deep,0.6911504424778762,0.9028761061946903,0.0548736523634374,0.05369504715759745
