family,lf_coverr_raw,lftr_coverr_raw,lf_coverr_afterT,lftr_coverr_afterT,lac_coverr
GBDT,0.04622725048773626,0.04474914653148985,0.020762705938161943,0.01728597760967946,0.013447961502123471
TFM,0.0142124620133005,0.011373076619917691,0.01831711486290619,0.014467499479231854,0.01212017401453858
classic,0.026706492433392036,0.025825820750533305,0.03721762823090262,0.035470790535438265,0.01538754917141106
deep,0.03228211804123182,0.031121323964188943,0.017600317899173983,0.01419363044536937,0.012653737565894763
LogReg,0.016652465921684022,0.015860009587857923,0.017875486402539418,0.01517116884238459,0.012447004666711895
knn,0.036760518945100046,0.03579163191320869,0.056559770059265824,0.05577041222849194,0.018328093676110224
