family,apsdet_cov,apsdet_Phat,apsdet_R,apsdet_absR,apsdet_width,apsdet_width_fb,apsmapie_cov,apsmapie_Phat,apsmapie_R,apsmapie_absR,apsmapie_width,apsmapie_width_fb,raps_cov,raps_Phat,raps_R,raps_absR,raps_width,raps_width_fb,lac_cov,lac_Phat,lac_R,lac_absR,lac_width,lac_width_fb,acc
TFM,0.9987837154878924,0.9988262618937941,-4.25464059016964e-05,0.00036645021935571246,2.3928342125052793,2.3928342125052793,0.9843786040929625,0.9854627395070058,-0.001084135414043323,0.0052192846776901065,1.5518708373938919,1.5518708373938919,0.9861981554274366,0.9870339054457419,-0.0008357500183053874,0.004797319347936186,1.5821396815410074,1.5821396815410074,0.901979721603264,0.9046203259951553,-0.0026406043918912976,0.010742046859843571,1.2303290376039795,1.2618178232320398,0.8443937919721602
GBDT,0.9972989732924464,0.9893627405396129,0.007936232752833602,0.01097622839428399,2.3701048646751626,2.3701048646751626,0.9744103493436901,0.972957775558867,0.0014525737848230663,0.03130845244406178,1.5733402212438665,1.5733402212438665,0.977096899386832,0.9745978101031433,0.0024990892836887005,0.02891087945823391,1.6045967589851895,1.6045967589851895,0.9026420587695894,0.9018842842570768,0.0007577745125126901,0.048396524593084245,1.286746759292144,1.3128573716690506,0.8245130652443954
deep,0.9976580571183666,0.9975843464567528,7.37106616139567e-05,0.0023013119920655516,2.3592313919871932,2.3592313919871932,0.9770397149572149,0.9834466265400054,-0.006406911582790468,0.01602944938200273,1.6304479559396237,1.6304479559396237,0.9793986826803531,0.9851519127774251,-0.005753230097071992,0.01472401098653487,1.661032223471516,1.661032223471516,0.9029347762009414,0.9124648827535707,-0.009530106552629347,0.02723501526317517,1.3260555290753666,1.3498982740997314,0.814417044698868
classic,0.9893070018023438,0.9978453848943132,-0.00853838309196938,0.01101802268271834,2.141891043201004,2.141891043201004,0.976559093568499,0.9813897345699694,-0.004830641001470415,0.017958191659502645,1.7125073931592936,1.7125073931592936,0.9781399251705697,0.9832407333869868,-0.005100808216417104,0.017501559935535253,1.7348024888407563,1.7348024888407563,0.9066916881855216,0.9008745426335137,0.005817145552007717,0.02483073147831656,1.4069171565845089,1.4230133057510868,0.795043819703396
