stat,level,label,n,mean,median,W,L,T,wilcoxon_p,sign_p,ci_lo,ci_hi
apsdet_absR,dataset,TFM - GBDT: apsdet_absR,113,-0.010609778174928279,-0.00019692411909099213,36.0,77.0,0.0,2.8551775729456513e-13,0.00014401960112955247,-0.015030422611960439,-0.0067749312867368405
apsdet_absR,strict76,TFM - GBDT: apsdet_absR [strict units],76,-0.01263547590130938,-0.0003126750457700154,16.0,60.0,0.0,7.676478007702298e-12,3.850977823529725e-07,-0.018647584616856727,-0.007468974068954695
apsdet_R,dataset,TFM - GBDT: apsdet_R,113,-0.0079787791587353,-5.037362163578088e-09,37.0,76.0,0.0,0.015304557597692456,0.00030960246353573076,-0.01228052800350841,-0.004192744813790756
apsdet_R,strict76,TFM - GBDT: apsdet_R [strict units],76,-0.009814106781998738,-5.076466274553026e-09,28.0,48.0,0.0,0.03646979450536737,0.028626655508737896,-0.015857284372202653,-0.00457107055887533
apsmapie_absR,dataset,TFM - GBDT: apsmapie_absR,113,-0.02608916776637167,-0.015444182683873433,3.0,110.0,0.0,3.564607398115061e-20,4.633363741607924e-29,-0.031598044441519334,-0.021001771186496484
apsmapie_absR,strict76,TFM - GBDT: apsmapie_absR [strict units],76,-0.029052093057338666,-0.018035679573442473,3.0,73.0,0.0,5.157440877610754e-14,1.938302550893458e-18,-0.03662079657417496,-0.022093818923618114
apsmapie_R,dataset,TFM - GBDT: apsmapie_R,113,-0.0025367091988663898,0.005812748932199442,76.0,37.0,0.0,0.11676394646603741,0.00030960246353573076,-0.008393544245251816,0.0030188976180043456
apsmapie_R,strict76,TFM - GBDT: apsmapie_R [strict units],76,-0.005795172738593611,0.004448103171215433,50.0,26.0,0.0,0.6749489870779839,0.007905180027859783,-0.013945585258538633,0.0015611806723420758
raps_absR,dataset,TFM - GBDT: raps_absR,112,-0.02411356011029772,-0.014443698406329657,2.0,110.0,0.0,4.815318008552722e-20,2.437842123605363e-30,-0.029615229146442153,-0.01902289952162288
raps_absR,strict76,TFM - GBDT: raps_absR [strict units],76,-0.027246193070608004,-0.015389816943889651,2.0,74.0,0.0,4.578641442084518e-14,7.747704489416678e-20,-0.03480178721842356,-0.020499176850089184
raps_R,dataset,TFM - GBDT: raps_R,112,-0.003334839301994086,0.0051966398772828985,75.0,37.0,0.0,0.13039921535159987,0.0004209679285168773,-0.00910456579298567,0.0021512799068287786
raps_R,strict76,TFM - GBDT: raps_R [strict units],76,-0.006790586917361354,0.0042819627911860735,48.0,28.0,0.0,0.7837774812513112,0.028626655508737896,-0.014713443301402413,0.000289724103261424
lac_absR,dataset,TFM - GBDT: lac_absR,113,-0.03765447773324067,-0.029816832081183263,4.0,109.0,0.0,1.0021276849364371e-19,1.2863898544284663e-27,-0.044053374110245506,-0.03154078200286522
lac_absR,strict76,TFM - GBDT: lac_absR [strict units],76,-0.040163571424016206,-0.030211777952146097,4.0,72.0,0.0,1.4896162928421887e-13,3.589836803538052e-17,-0.04841737485245379,-0.032254737056434606
lac_R,dataset,TFM - GBDT: lac_R,113,-0.0033983789044039862,0.0032921627276270467,66.0,47.0,0.0,0.7106395018171465,0.08995433294496456,-0.011077379253386227,0.004027973016805667
lac_R,strict76,TFM - GBDT: lac_R [strict units],76,-0.007525101077380207,0.000651927556646188,41.0,35.0,0.0,0.5412475043156626,0.566573442398685,-0.017266362130742306,0.001752324744385165
apsdet_absR,adjusted_acc,,113,-0.010189282317129037,,,,,,,-0.014538626404904801,-0.00638058877838038
apsmapie_absR,adjusted_acc,,113,-0.02526363869007223,,,,,,,-0.031007760248998695,-0.01999547193378158
