metric,units,n,mean,ci_lo,ci_hi,W,L,T,wilcoxon_p
auc,dataset,113,0.024304500564209193,0.018872912624485372,0.030521469563360125,108,5,0,1.1134280398752408e-19
auc,strict,76,0.019241279936140946,0.014120697205066535,0.025288861488002985,72,4,0,1.610140761704802e-13
sscs,dataset,113,-0.042988892804728514,-0.07155978130600515,-0.017360688489072396,46,38,29,0.2946160574033265
sscs,strict,76,-0.037788069953175844,-0.06744343612601356,-0.012527474993388077,28,28,20,0.14425761512622132
commit_pt,dataset,113,-0.005378040485978779,-0.008496771311220933,-0.002660025874476168,16,46,51,1.8667499591191654e-05
commit_pt,strict,76,-0.0044315495788846025,-0.007913657096382067,-0.001467386564891216,9,38,29,0.00011847449496826812
sscsp,dataset,113,0.01564342736677218,0.010582598676869085,0.02127172986180387,93,18,2,5.2310540237460683e-11
sscsp,strict,76,0.012519824309791192,0.007892153124425786,0.01788327374263393,60,14,2,2.036342467153544e-07
