block,alpha,family,acc,lf_coverr,lftr_coverr,lac_coverr,pass_lf,pass_lf_phi,pass_lftr,pass_lac,lf_eps,lac_eps,lf_width,lf_width_fb,lac_width,lac_width_fb,tau_err
F1,0.05,TFM,0.8443937919721602,0.0106065947727007,0.0087943609034216,0.0094843279351948,0.9264125255275698,0.9264125255275698,0.9388019060585432,0.972566371681416,0.0104861565987672,0.009894764446351,1.3801887905684214,1.3906749471671884,1.4022599716061874,1.4121547360525388,0.0366610227727536
F1,0.05,GBDT,0.8245130652443954,0.0395551045031321,0.0384331765410136,0.01013372910445,0.5277286135693214,0.5277286135693214,0.5457227138643068,0.9581120943952802,0.0126894148257596,0.0080933583534489,1.4469827596367468,1.4596721744625067,1.4714739645663124,1.4795673229197617,0.1379591852824745
F1,0.05,deep,0.814417044698868,0.0274955965139261,0.026840608106091,0.0096502562334797,0.6694690265486726,0.6694690265486726,0.6800884955752212,0.9745575221238938,0.0094609383611384,0.0070550141481241,1.4428527706069485,1.452313708968087,1.5199576503735726,1.5270126645216968,0.101605341083712
F1,0.05,classic,0.795043819703396,0.0206064417007428,0.0203191005521053,0.0117709968420314,0.7601769911504425,0.7601769911504425,0.7548672566371681,0.9123893805309734,0.0050211647353636,0.004030933676525,1.5383912226442216,1.5434123873795853,1.652735287707228,1.6567662213837533,0.0743598685406739
F1,0.1,TFM,0.8443937919721602,0.0142124620133005,0.0113730766199176,0.0121201740145385,0.9312457454050374,0.9312457454050374,0.9492171545268888,0.9684819605173588,0.0336164221519016,0.0314887856280605,1.2153046558342495,1.2489210779861513,1.2303290376039795,1.2618178232320398,0.0283589490356039
F1,0.1,GBDT,0.8245130652443954,0.0462272504877362,0.0447491465314898,0.0134479615021234,0.5867256637168141,0.5867256637168141,0.6020648967551622,0.955457227138643,0.0370299627532247,0.0261106123769065,1.2873869490647891,1.3244169118180142,1.286746759292144,1.3128573716690506,0.1170769443178408
F1,0.1,deep,0.814417044698868,0.0322821180412318,0.0311213239641889,0.0126537375658947,0.7176991150442478,0.7176991150442478,0.7269911504424779,0.9741150442477876,0.0308286782879071,0.0238427450243647,1.266662925558789,1.297491603846696,1.3260555290753666,1.3498982740997314,0.0815826543582808
F1,0.1,classic,0.795043819703396,0.026706492433392,0.0258258207505333,0.015387549171411,0.7756637168141592,0.7756637168141592,0.7800884955752212,0.931858407079646,0.0185348646584279,0.0160961491665779,1.3540740906974913,1.372608955355919,1.4069171565845089,1.4230133057510868,0.0553615914627209
F1,0.2,TFM,0.8443937919721602,0.0193610084975798,0.0124041093689749,0.0175970179973115,0.9306330837304287,0.9484002722940776,0.9621511232130702,0.9678012253233492,0.1088442393940478,0.1045916606925833,1.0026691170257729,1.111513356419821,1.0136142391940348,1.1182058998866182,0.0150649963458981
F1,0.2,GBDT,0.8245130652443954,0.0516354747983716,0.0484221611105492,0.0190923257351138,0.6817109144542773,0.7035398230088497,0.6958702064896755,0.9575221238938052,0.1116426103769597,0.0944926013365596,1.0746262216837683,1.1862688320607282,1.0584419582144962,1.152934559551056,0.069212274583664
F1,0.2,deep,0.814417044698868,0.0370342131482967,0.0339713483907582,0.018476943445329,0.7734513274336283,0.8030973451327434,0.7988938053097345,0.963274336283186,0.1010915569472526,0.0892471178912347,1.0441887383883208,1.1452802953355734,1.0871733869347722,1.176420504826007,0.0465057846678651
F1,0.2,classic,0.795043819703396,0.0375113527540603,0.0333469719666581,0.0242529884117464,0.7623893805309734,0.7889380530973452,0.79070796460177,0.8986725663716814,0.0758695800542152,0.0726380411691013,1.1173320373185742,1.1932016173727895,1.1345254086676515,1.2071634498367532,0.0351481275137432
D29,0.05,TFM,0.8168859574557445,0.008791869886537,0.0085418014779554,0.005259072853568,0.6063218390804598,0.6063218390804598,0.6201149425287357,0.90316091954023,0.0043115237674047,0.0040168448177239,1.376325737815643,1.3806372615830478,1.3931803926980242,1.397197237515748,0.0227978501618764
D29,0.05,GBDT,0.8055108786870496,0.0191278085378539,0.0190613544992678,0.0060424095768836,0.4310344827586207,0.4310344827586207,0.4402298850574713,0.8919540229885058,0.0045431784605684,0.002796042081203,1.3831372495380403,1.3876804279986088,1.4183722972441295,1.4211683393253327,0.0593727958993251
D29,0.05,deep,0.7964679637562915,0.0189955279238793,0.0190245056089442,0.0061501025539965,0.4818965517241379,0.4818965517241379,0.4844827586206897,0.8594827586206897,0.0045951847616876,0.0021892472042889,1.4046601915960568,1.4092553763577444,1.450496693975195,1.4526859411794844,0.0385977831764366
D29,0.05,classic,0.7643808455168954,0.015313762875215,0.0149703171850425,0.0065301385397484,0.5310344827586206,0.5310344827586206,0.5465517241379311,0.8206896551724139,0.0021293385754354,0.0016004367147658,1.5521085277628246,1.55423786633826,1.589259507941394,1.5908599446561598,0.041054452221805
