block,score,alpha,metric,contrast,mean,lo,hi,wilcoxon_p,pos,neg,zero,n
D29,lac,0.1,auc,TFM-GBDT,0.012121558591768243,0.002705630275057509,0.022852463311105735,0.09485765464069118,25,16,1,42
D29,lac,0.1,sscs,TFM-GBDT,-0.025295734774627817,-0.07787780417692729,0.021911554575289736,0.6645215428434312,16,16,10,42
D29,lac,0.1,commit_pt,TFM-GBDT,-0.004126047332073441,-0.00724208128296,-0.0016880132058943167,0.0005517005920410156,3,20,19,42
D29,lac,0.1,sscsp,TFM-GBDT,0.011663341973997276,0.004334231236930749,0.02023207443259513,0.022216888564798865,28,13,1,42
D29,lac,0.1,cov,TFM-GBDT,-0.0021102467672743717,-0.0047921594077254825,-0.00038679664226060105,0.012691190071564051,13,29,0,42
D29,lac,0.1,width,TFM-GBDT,-0.020865683559826664,-0.04287982293209356,0.0025668653443783867,0.007995535042937263,12,30,0,42
D29,lac,0.1,auc,TFM-deep,0.017047919892212566,0.010332624814101438,0.02425368189803841,7.323251338675618e-08,36,5,1,42
D29,lac,0.1,sscs,TFM-deep,-0.06537929301287948,-0.12065970659087277,-0.018861748182827293,0.34029899863526225,18,14,10,42
D29,lac,0.1,commit_pt,TFM-deep,-0.0032530076112989885,-0.007713288056094866,0.002064706936292561,0.0006387233734130859,3,20,19,42
D29,lac,0.1,sscsp,TFM-deep,0.0106514189130683,0.002833297503292702,0.018025036299903704,3.52059487340739e-06,37,4,1,42
D29,lac,0.1,cov,TFM-deep,-0.002193481877682112,-0.0054164191633095755,0.00010565559250315711,0.014713747452788084,13,29,0,42
D29,lac,0.1,width,TFM-deep,-0.037972949358496565,-0.06018484904760189,-0.018466282020786824,3.274999471614137e-08,5,37,0,42
D29,lac,0.1,auc,TFM-classic,0.05571697966571637,0.04305643986954026,0.06884139648852394,4.547473508864641e-13,42,0,0,42
D29,lac,0.1,sscs,TFM-classic,-0.09611911622796238,-0.1716818899423319,-0.02852122142139489,0.39995870366692543,18,14,10,42
D29,lac,0.1,commit_pt,TFM-classic,-0.010149555273930265,-0.01550330756154945,-0.005515599873594383,4.5299530029296875e-06,1,22,19,42
D29,lac,0.1,sscsp,TFM-classic,0.03447170791642623,0.02368222334258443,0.0463358996408391,7.908056431915611e-10,40,2,0,42
D29,lac,0.1,cov,TFM-classic,-0.0033062420644859765,-0.006190247380632682,-0.0007195553120375509,0.005323004778801987,12,30,0,42
D29,lac,0.1,width,TFM-classic,-0.14472057769670565,-0.23841437424346976,-0.08592104405876441,9.094947017729282e-13,1,41,0,42
