block,score,c,contrast,mean,lo,hi,wilcoxon_p,pos,neg,zero,n,delivered_cov_TFM,delivered_cov_GBDT
F1,lac,0.5,TFM-GBDT,2.48448928065836e-05,-4.0938760091987276e-05,0.00013353361292138026,0.21616744995117188,7,13,93,113,0.9231184438781116,0.9134792370177114
F1,lac,0.5,TFM-deep,2.1517927130474827e-05,-5.7801728844932376e-05,0.00012149826128709494,0.8648872375488281,11,10,92,113,0.9231184438781116,0.9134792370177114
F1,lac,0.5,TFM-classic,-5.3280795848888864e-05,-0.0002102462866036994,7.640017360489427e-05,0.6225624084472656,10,9,94,113,0.9231184438781116,0.9134792370177114
F1,lac,1.0,TFM-GBDT,-0.00015481385111867663,-0.0016703793208103427,0.0014465874871506246,0.27960565184093866,16,25,72,113,0.8471729358322508,0.828878407902858
F1,lac,1.0,TFM-deep,-0.0009316312162575646,-0.0024195630794033142,0.0007188227569908983,0.007235796054374077,10,31,72,113,0.8471729358322508,0.828878407902858
F1,lac,1.0,TFM-classic,-0.004318261383450633,-0.007300005542945908,-0.0015392126623250452,0.0004022172452096129,9,31,73,113,0.8471729358322508,0.828878407902858
F1,lac,2.0,TFM-GBDT,-0.0034714678775102656,-0.011868511337381985,0.005319247029829959,0.012739048734180424,40,73,0,113,0.7422464225104295,0.722538434728567
F1,lac,2.0,TFM-deep,-0.0031853131210435323,-0.013058445372137524,0.007165622151225109,0.0022265497799891106,32,81,0,113,0.7422464225104295,0.722538434728567
F1,lac,2.0,TFM-classic,-0.015416009531895305,-0.030450909190864787,-0.00025874398110352316,0.012037736863505647,46,67,0,113,0.7422464225104295,0.722538434728567
F1,apsr,0.5,TFM-GBDT,0.004526830184575301,0.00360035793287137,0.0055107844150977595,5.42140529841942e-15,97,16,0,113,0.9230484851240658,0.9130473829735952
F1,apsr,0.5,TFM-deep,0.0029937957539277753,0.0021378477366739137,0.003867796490473351,1.866546696541277e-09,85,28,0,113,0.9230484851240658,0.9130473829735952
F1,apsr,0.5,TFM-classic,0.003882583882408636,0.002460979390918178,0.005365378613245687,3.941450676901663e-07,84,28,1,113,0.9230484851240658,0.9130473829735952
F1,apsr,1.0,TFM-GBDT,0.002425213953353749,0.0006651878289663786,0.004240369308407824,0.0032439000546720105,76,37,0,113,0.8459706850044975,0.8267315896615434
F1,apsr,1.0,TFM-deep,-0.0006907468912863146,-0.0022693438086863935,0.0009022879627052113,0.5127144053349606,57,56,0,113,0.8459706850044975,0.8267315896615434
F1,apsr,1.0,TFM-classic,0.0031818398366069743,2.8508012369058875e-06,0.006401540753632733,0.027288734229409608,68,45,0,113,0.8459706850044975,0.8267315896615434
F1,apsr,2.0,TFM-GBDT,-0.0031507198897693664,-0.008879610890144472,0.002757270037598108,0.02978148333482947,45,68,0,113,0.7389274259612318,0.7189319128523546
F1,apsr,2.0,TFM-deep,-0.0038767766938630904,-0.010553750481531537,0.0032261868232211196,0.0008762370037967284,34,79,0,113,0.7389274259612318,0.7189319128523546
F1,apsr,2.0,TFM-classic,-0.0009030469105128584,-0.011327860768091865,0.009879113791487506,0.29637630827220773,52,61,0,113,0.7389274259612318,0.7189319128523546
