block,alpha,n_runs,n_reachable,n_unreachable,n_datasets_reachable,alpha_star_mean,alpha_star_median,width_retuned_all,contrast,retune_alpha_mean,retune_alpha_lo,retune_alpha_hi,retune_alpha_p,retune_alpha_wlt,retune_width_mean,retune_width_lo,retune_width_hi,retune_width_p,retune_width_wlt,n_contrast
F1,0.1,24860,15273,9587,92,0.10287222648726609,0.1015299553131863,1.4528697993442368,TFM-GBDT,-0.002753216302585823,-0.005046543306391508,-0.0006519579440564452,0.0400398879311832,31/42/0,-0.06998836586411278,-0.09032960488877141,-0.05157642469345483,4.569212738008487e-13,3/70/0,73
F1,0.1,24860,15273,9587,92,0.10287222648726609,0.1015299553131863,1.4528697993442368,TFM-deep,-0.0022975751979860894,-0.004356099224816192,-0.0002970945796177671,0.027003974888857196,30/44/0,-0.12177450447607296,-0.1642871176231902,-0.0855898206220528,9.882257784355208e-14,1/73/0,74
F1,0.1,24860,15273,9587,92,0.10287222648726609,0.1015299553131863,1.4528697993442368,TFM-classic,-0.00577622211144909,-0.008571197810960796,-0.0031800651119417082,5.117670387387572e-05,25/50/0,-0.13804227295994942,-0.1761605983700364,-0.10257635473104841,2.22229622999368e-13,4/71/0,75
