family,const_cov_apsr,const_coverr_apsr,own_cov_apsr,own_coverr_apsr,constdet_cov,constdet_coverr,constdet_width,constdet_width_fb,absq_apsr,apsr_q,apsr_q_minus_1ma,ks_pit_raw,ks_pit_T,constT_coverr_apsr,const_size_apsr,acc
TFM,0.8973506984906445,0.008160544914400667,0.9012834170356642,0.010777633742518873,0.9831390801097458,0.08314155763708418,1.5413121643940237,1.5413121643940237,0.012624444865758698,0.9033740963150568,0.003374096315056826,0.037669043273184474,0.051494574980076965,0.008127493322359128,1.3097949785348701,0.8443937919721602
GBDT,0.878734992243389,0.037646825493017545,0.901001602947639,0.011701497988628897,0.964260997443894,0.07438887812226748,1.6007324543789065,1.6007324543789065,0.04437683143884439,0.9014848895408741,0.0014848895408741264,0.0778646592593951,0.05717898449445238,0.011084494619192193,1.3708772631005717,0.8245130652443954
deep,0.8843910557906194,0.025818721317292542,0.9015757065854367,0.010826140881085876,0.9692867510673517,0.0756733707991257,1.5932018565622443,1.5932018565622443,0.02586703263183518,0.9099263828215609,0.009926382821560886,0.05487365236343742,0.05369504715759748,0.009527203080451215,1.3572421047019765,0.814417044698868
classic,0.8952189627160584,0.019304956086057878,0.89975922299885,0.011867477892984857,0.9757623614139885,0.07914456732705447,1.7216652108352601,1.7216652108352601,0.025231140019951456,0.9002642363488642,0.00026423634886422434,0.05202590645560243,0.08436289015499934,0.01868238211679359,1.4564845136053246,0.795043819703396
