family,auc,eps,commit_pt,commit_run,sscs,sscsp,cov,width
GBDT,0.867617990702944,0.026110612376906536,0.9738893876230935,0.6365781710914454,0.5344229727770602,0.8873893999298094,0.9026420587695895,1.2867467592921442
TFM,0.8919224912671532,0.03148865286288532,0.9685113471371146,0.5776038121170864,0.4914340799723316,0.9030328272965815,0.9019799068378312,1.2303265816316113
classic,0.8336932895320199,0.01609614916657794,0.983903850833422,0.7212389380530974,0.5993535902957813,0.8671275340474731,0.9066916881855215,1.4069171565845087
deep,0.8528704033815938,0.023842877258291772,0.9761571227417082,0.6462389380530974,0.5340483574377194,0.8764588497466378,0.9029354488471002,1.326048329486474
