block,metric,rho_spearman,p,k
D29,commit_pt,-0.9129870129870129,7.846115695184515e-09,21
D29,sscsp,0.9545454545454546,1.9363254882559627e-11,21
D29,sscs,-0.9233766233766234,2.4434594119524256e-09,21
D29,commit_run,-0.9437410849913528,1.4072612612606436e-10,21
