family,lf_coverr,lftr_coverr,lac_coverr,lf_eps,lftr_eps,lac_eps,lf_width,lf_width_fb,lftr_width,lftr_width_fb,lac_width,lac_width_fb,tau_err,lf_covbias,lftr_covbias,pass_lf_plain,pass_lf_phi,pass_lf_phiZ,pass_lftr_plain,pass_lftr_phi,pass_lac_plain,pass_lac_phi,acc
TFM,0.0142124620133005,0.011373076619917691,0.01212017401453858,0.03361642215190163,0.03419125596650709,0.031488785628060574,1.2153046558342495,1.2489210779861513,1.2156347770085905,1.2498260329750974,1.2303290376039795,1.2618178232320398,0.028358949035603927,-0.0035289171605322653,-0.003998958746880949,0.9312457454050374,0.9312457454050374,0.9385976855003404,0.9492171545268889,0.9492171545268889,0.9684819605173587,0.9684819605173587,0.8443937919721602
GBDT,0.04622725048773626,0.04474914653148985,0.013447961502123471,0.0370299627532247,0.03765797094864101,0.026110612376906536,1.2873869490647893,1.3244169118180142,1.287192552262218,1.3248505232108592,1.286746759292144,1.3128573716690506,0.11707694431784088,-0.023171577055206023,-0.023449603244895634,0.5867256637168141,0.5867256637168141,0.6002949852507374,0.6020648967551622,0.6020648967551622,0.955457227138643,0.955457227138643,0.8245130652443954
deep,0.03228211804123182,0.031121323964188943,0.012653737565894763,0.03082867828790719,0.03156768385644802,0.023842745024364714,1.2666629255587887,1.297491603846696,1.266175009449845,1.2977426933062932,1.3260555290753666,1.3498982740997314,0.08158265435828085,-0.01687436060747614,-0.017474401021503685,0.7176991150442478,0.7176991150442478,0.731637168141593,0.7269911504424779,0.7269911504424779,0.9741150442477876,0.9741150442477876,0.814417044698868
classic,0.026706492433392036,0.025825820750533305,0.01538754917141106,0.0185348646584279,0.01877286090417448,0.01609614916657794,1.3540740906974913,1.3726089553559193,1.3541263145665106,1.3728991754706852,1.4069171565845089,1.4230133057510868,0.05536159146272092,-0.00284365511987973,-0.0031389906111909255,0.7756637168141592,0.7756637168141592,0.7867256637168142,0.7800884955752212,0.7800884955752212,0.931858407079646,0.931858407079646,0.795043819703396
