score,alpha,block,model,family,n_datasets,mean_residual,ci_lo,ci_hi,max_abs_dataset_residual,verdict
APS,0.1,multiclass,xgboost,GBDT,62,0.06485777612513241,0.058167628981552484,0.07127182319699259,0.09992385109076099,FALSIFIER FIRES
LAC,0.1,F1,LogReg,classic,113,0.0010302540472613365,-0.0009579198171048895,0.0030060855994670384,0.04215686274509785,documented deviation
LAC,0.1,F1,PFN-v2,TFM,113,0.00013036388720474713,-0.0019597966707503066,0.0021742186699329597,0.042341337907375674,CERTIFIED
LAC,0.1,F1,catboost,GBDT,113,0.0013002446831529388,-0.0006746545183945605,0.003275292251590899,0.028208854923656344,documented deviation
LAC,0.1,F1,exaone,TFM,113,0.0008871086091233746,-0.0013017858541736684,0.0029900430977121495,0.03915951972555749,CERTIFIED
LAC,0.1,F1,ftt,deep,113,0.00127369707497733,-0.0004046834319463729,0.002935786129716596,0.029086845466155864,documented deviation
LAC,0.1,F1,knn,classic,113,0.001339346696720846,-0.00046132044328015323,0.0031122879084839517,0.035865955144232534,documented deviation
LAC,0.1,F1,lightgbm,GBDT,113,0.00032684293105354815,-0.001761248306289185,0.0023674647882102663,0.03186462324393363,CERTIFIED
LAC,0.1,F1,mitra,TFM,113,0.00010560349343391612,-0.0017640394100286927,0.0018913545183895488,0.03779588336192112,CERTIFIED
LAC,0.1,F1,mitra@v2,TFM,113,0.0008745889200295768,-0.0010888908167398358,0.002777626974962412,0.03075140372525681,CERTIFIED
LAC,0.1,F1,mlp,deep,113,0.0017614296426217157,-1.828098883970803e-05,0.0035433563208735405,0.03808506224066387,documented deviation
LAC,0.1,F1,resnet,deep,113,0.0012177818800728321,-0.0005768670321823723,0.002999699927229124,0.03358506224066388,documented deviation
LAC,0.1,F1,tabfm,TFM,113,0.001042188001990191,-0.0011054968704466987,0.0031543864893792406,0.030576298701298833,documented deviation
LAC,0.1,F1,tabicl,TFM,113,0.0011334166952237951,-0.0009020328696912472,0.003170986007589523,0.03505208333333336,documented deviation
LAC,0.1,F1,tabiclv2,TFM,113,0.0006492323737863042,-0.001348531432809595,0.0026581584653664592,0.026770833333333376,CERTIFIED
LAC,0.1,F1,tabldm,TFM,113,0.0006696096716647102,-0.0013093896839180307,0.002685757124832667,0.032864583333333384,CERTIFIED
LAC,0.1,F1,tabm,deep,113,0.0015227589421961483,-0.0001988590426782228,0.0032083424134942127,0.025611452326253715,documented deviation
LAC,0.1,F1,tabpfn,TFM,113,0.0013651344378161538,-0.0003838515305037305,0.003130280181737796,0.03208506224066389,documented deviation
LAC,0.1,F1,tabpfn25,TFM,113,0.0013270373866831006,-0.000770786924266809,0.0033713284559495215,0.04325042881646657,documented deviation
LAC,0.1,F1,tabpfn25b,TFM,113,0.0011811159663112749,-0.0009097742653717221,0.0032010343858932255,0.0459777015437393,documented deviation
LAC,0.1,F1,tabpfn26,TFM,113,0.000958000951276956,-0.001155968637204757,0.0030079607060306073,0.03461406518010294,CERTIFIED
LAC,0.1,F1,tabpfn3,TFM,113,0.0020781872488363656,6.341329092845899e-05,0.00410050463747981,0.03273815869214418,FALSIFIER FIRES
LAC,0.1,F1,xgboost,GBDT,113,0.0007053861135470046,-0.0013490378771823504,0.002686961452212842,0.03552315608919384,CERTIFIED
