family,auc,eps,commit_pt,commit_run,sscs,sscsp,cov,width
GBDT,0.9438441578062191,0.04682175762239741,0.9531782423776025,0.44957264957264953,0.39415965868053765,0.9349284777479806,0.8988091071878103,1.031180012187174
TFM,0.960969210740147,0.05636327267117158,0.9436367273288285,0.25266272189349115,0.22637125940718109,0.9521468160517458,0.8992044141642653,0.9635914672377689
classic,0.9228128407724231,0.039742006000115626,0.9602579939998844,0.4717948717948718,0.402390569376037,0.9229025731375524,0.906238754279249,1.0985363941061639
deep,0.9415592272857668,0.048229258831278564,0.9517707411687214,0.4301282051282051,0.3758332571914465,0.9347659781924773,0.8988995825574125,1.0344559651310958
