block,metric,rho_spearman,p,k
C39,commit_pt,-0.9604743083003954,1.4265108425805524e-12,22
C39,sscsp,0.9977413890457371,6.175870633635511e-25,22
C39,sscs,-0.9649915302089217,4.318827029042323e-13,22
C39,commit_run,-0.9805033192299913,1.3216683511459482e-15,22
