stat,rho22,p22,rho_TFM13,p_TFM13,rho_nonTFM9,p_nonTFM9
lf_coverr,-0.7334839073969509,0.00010265503512007892,-0.26373626373626374,0.3839365166506743,0.5666666666666667,0.11163298761149114
lftr_coverr,-0.7684923771880295,2.9459265319233218e-05,-0.4340659340659341,0.1383423778882127,0.5666666666666667,0.11163298761149114
pass_lf_plain,0.7526821005081875,5.3077425273494405e-05,0.3131868131868132,0.2974384220710292,-0.43333333333333335,0.2439524358800516
pass_lftr_plain,0.7661867989137467,3.2190023523981274e-05,0.3762192317560849,0.20516161845340777,-0.43333333333333335,0.2439524358800516
tau_err,-0.7447769621682666,7.012307345222718e-05,-0.3186813186813187,0.2885831614447202,0.5,0.1704706607870538
lf_eps,0.5584415584415585,0.006908962488655956,0.7032967032967032,0.007318569842104322,0.6833333333333333,0.04244227208707231
