stat,rho22,rho_TFM13,p_TFM13,rho_nonTFM9,p_nonTFM9
const_coverr_apsr,-0.7651044607566347,-0.4175824175824176,0.1556747536334745,0.5666666666666667,0.11163298761149114
absq_apsr,-0.805759457933371,-0.5494505494505494,0.05177062555916269,0.3666666666666667,0.33173980143301496
ks_pit_raw,-0.8068887634105025,-0.5494505494505494,0.05177062555916269,0.48333333333333334,0.18746985521554207
constdet_coverr,0.6860530773574253,0.021978021978021976,0.9431862416608072,-0.2833333333333333,0.46003032896571994
