family,lac_width_10,lac_widthfb_10,aps_width_10,aps_widthfb_10,lac_eps_10,lac_cov_10,aps_cov_10,apsrand_width,apsrand_widthfb,apsrand_cov,apsrand_eps
GBDT,1.286746759292144,1.3128573716690506,1.5733217966546107,1.5733217966546107,0.026110612376906536,0.9026420587695894,0.9744019864658856,1.3634240558631774,1.3995764295565163,0.9014140309696573,0.03615237369333913
TFM,1.2303290376039795,1.2618178232320398,1.551868720436998,1.551868720436998,0.031488785628060574,0.901979721603264,0.9843783011101939,1.3236241309424424,1.3690713557419687,0.9013741482640449,0.04544722479952648
classic,1.4069171565845089,1.4230133057510868,1.7127784885740205,1.7127784885740205,0.01609614916657794,0.9066916881855216,0.9765650503544884,1.5491800721047153,1.5755688557425038,0.9093040013076188,0.026388783637788175
deep,1.3260555290753666,1.3498982740997314,1.629314418450667,1.629314418450667,0.023842745024364714,0.9029347762009414,0.97694146623889,1.4102104267410667,1.4457290054560215,0.9019800878758758,0.03551857871495478
LogReg,1.3601474174024903,1.3787345585274688,1.7279600305485068,1.7279600305485068,0.018587141124978352,0.9031264934148928,0.981103843799974,1.4739937543189032,1.5045193728032926,0.903049200691708,0.030525618484389016
knn,1.4536868957665274,1.4672920529747049,1.6975969465995344,1.6975969465995344,0.013605157208177527,0.9102568829561501,0.9720262569090028,1.6243663898905274,1.6466183386817148,0.9155588019235292,0.02225194879118733
